,Date,Close Prices,Test Predictions
298,2020-10-01,40.96,41.44
299,2020-10-02,39.27,41.43
300,2020-10-05,41.29,40.01
301,2020-10-06,42.65,41.56
302,2020-10-07,41.99,42.90
303,2020-10-08,43.34,42.49
304,2020-10-09,42.85,43.57
305,2020-10-12,41.72,43.29
306,2020-10-13,42.45,42.29
307,2020-10-14,43.32,42.79
308,2020-10-15,43.16,43.59
309,2020-10-16,42.93,43.55
310,2020-10-19,42.62,43.34
311,2020-10-20,43.16,43.05
312,2020-10-21,41.73,43.48
313,2020-10-22,42.46,42.33
314,2020-10-23,41.77,42.80
315,2020-10-26,40.46,42.28
316,2020-10-27,41.20,41.11
317,2020-10-28,39.12,41.59
318,2020-10-29,37.65,39.91
319,2020-10-30,37.46,38.41
320,2020-11-02,37.46,38.06
321,2020-11-03,39.71,38.04
322,2020-11-04,41.23,40.00
323,2020-11-05,40.93,41.53
324,2020-11-06,39.45,41.43
325,2020-11-09,42.40,40.15
326,2020-11-10,43.61,42.54
327,2020-11-11,43.80,43.82
328,2020-11-12,43.53,44.11
329,2020-11-13,42.78,43.91
330,2020-11-16,43.82,43.26
331,2020-11-17,43.75,44.06
332,2020-11-18,44.34,44.09
333,2020-11-19,44.20,44.59
334,2020-11-20,44.96,44.53
335,2020-11-23,46.06,45.16
336,2020-11-24,47.86,46.16
337,2020-11-25,48.61,47.80
338,2020-11-27,48.18,48.61
339,2020-11-30,47.59,48.35
340,2020-12-01,47.61,47.81
341,2020-12-02,48.25,47.76
342,2020-12-03,48.71,48.30
343,2020-12-04,49.25,48.75
344,2020-12-07,48.79,49.26
345,2020-12-08,48.84,48.94
346,2020-12-09,48.86,48.93
347,2020-12-10,50.25,48.95
348,2020-12-11,49.97,50.13
349,2020-12-14,50.29,50.05
350,2020-12-15,50.76,50.29
351,2020-12-16,51.08,50.72
352,2020-12-17,51.50,51.05
353,2020-12-18,52.26,51.44
354,2020-12-21,50.91,52.14
355,2020-12-22,50.08,51.10
356,2020-12-23,51.20,50.23
357,2020-12-24,51.29,51.08
358,2020-12-28,50.86,51.27
359,2020-12-29,51.09,50.93
360,2020-12-30,51.34,51.07
361,2021-01-04,51.09,51.31
362,2021-01-05,53.60,51.13
363,2021-01-06,54.30,53.26
364,2021-01-07,54.38,54.13
365,2021-01-08,55.99,54.30
366,2021-01-11,55.66,55.71
367,2021-01-12,56.58,55.62
368,2021-01-13,56.06,56.38
369,2021-01-14,56.42,56.04
370,2021-01-15,55.10,56.29
371,2021-01-19,55.90,55.20
372,2021-01-20,56.08,55.72
373,2021-01-21,56.10,55.97
374,2021-01-22,55.41,56.01
375,2021-01-25,55.88,55.42
376,2021-01-26,55.91,55.74
377,2021-01-27,55.81,55.82
378,2021-01-28,55.53,55.74
379,2021-01-29,55.88,55.49
380,2021-02-01,55.88,55.75
381,2021-02-02,57.46,55.80
382,2021-02-03,58.46,57.18
383,2021-02-04,58.84,58.25
384,2021-02-05,59.34,58.71
385,2021-02-08,60.56,59.20
386,2021-02-09,61.09,60.36
387,2021-02-10,61.47,60.97
388,2021-02-11,61.14,61.38
389,2021-02-12,62.43,61.13
390,2021-02-16,63.35,62.27
391,2021-02-17,64.34,63.24
392,2021-02-18,63.93,64.25
393,2021-02-19,62.91,63.96
394,2021-02-22,65.24,63.00
395,2021-02-23,65.37,65.09
396,2021-02-24,67.04,65.37
397,2021-02-25,66.88,66.98
398,2021-02-26,66.13,66.94
399,2021-03-01,65.95,66.23
400,2021-03-02,62.70,66.00
401,2021-03-03,64.07,63.05
402,2021-03-04,66.74,63.96
403,2021-03-05,69.36,66.61
404,2021-03-08,68.24,69.33
405,2021-03-09,67.52,68.39
406,2021-03-10,67.90,67.64
407,2021-03-11,69.63,67.95
408,2021-03-12,69.22,69.66
409,2021-03-15,68.88,69.33
410,2021-03-16,68.39,68.99
411,2021-03-17,68.00,68.50
412,2021-03-18,63.28,68.10
413,2021-03-19,64.53,63.82
414,2021-03-22,64.62,64.45
415,2021-03-23,60.79,64.61
416,2021-03-24,64.41,61.23
417,2021-03-25,61.95,64.16
418,2021-03-26,64.57,62.20
419,2021-03-29,64.98,64.38
420,2021-03-30,64.14,64.94
421,2021-03-31,63.54,64.22
422,2021-04-01,63.60,63.59
423,2021-04-05,62.15,63.58
424,2021-04-06,62.74,62.28
425,2021-04-07,63.16,62.66
426,2021-04-08,63.20,63.10
427,2021-04-09,62.95,63.18
428,2021-04-12,63.28,62.95
429,2021-04-13,63.67,63.23
430,2021-04-14,66.58,63.62
431,2021-04-15,66.94,66.44
432,2021-04-16,66.77,66.95
433,2021-04-19,67.05,66.83
434,2021-04-20,66.57,67.08
435,2021-04-21,65.32,66.65
436,2021-04-22,65.40,65.45
437,2021-04-23,66.11,65.42
438,2021-04-26,65.65,66.09
439,2021-04-27,66.42,65.71
440,2021-04-28,67.27,66.41
441,2021-04-29,68.56,67.27
442,2021-04-30,67.25,68.57
443,2021-05-03,67.29,67.40
444,2021-05-05,68.96,67.35
445,2021-05-06,68.09,68.97
446,2021-05-07,68.28,68.22
447,2021-05-10,68.32,68.35
448,2021-05-11,68.55,68.40
449,2021-05-12,69.32,68.62
450,2021-05-13,67.05,69.38
451,2021-05-14,68.71,67.29
452,2021-05-17,69.46,68.73
453,2021-05-18,68.71,69.51
454,2021-05-19,66.66,68.84
455,2021-05-20,65.11,66.88
456,2021-05-21,66.44,65.27
457,2021-05-24,68.46,66.40
458,2021-05-25,68.65,68.43
459,2021-05-26,68.87,68.71
460,2021-05-27,69.46,68.95
461,2021-05-28,69.63,69.53
462,2021-06-01,69.63,69.72
463,2021-06-02,71.35,69.73
464,2021-06-03,71.31,71.44
465,2021-06-04,71.89,71.44
466,2021-06-07,71.49,72.02
467,2021-06-08,72.22,71.64
468,2021-06-09,72.22,72.36
469,2021-06-10,72.52,72.37
470,2021-06-11,72.69,72.67
471,2021-06-14,72.86,72.85
472,2021-06-15,73.99,73.02
473,2021-06-16,74.39,74.17
474,2021-06-17,73.08,74.58
475,2021-06-18,73.51,73.30
476,2021-06-21,74.90,73.69
477,2021-06-22,74.81,75.10
478,2021-06-23,75.19,75.02
479,2021-06-24,75.56,75.40
480,2021-06-25,76.18,75.78
481,2021-06-28,74.68,76.41
482,2021-06-29,74.76,74.93
483,2021-06-30,75.13,74.97
484,2021-07-01,75.84,75.34
485,2021-07-02,76.17,76.07
486,2021-07-06,74.53,76.40
487,2021-07-07,73.43,74.79
488,2021-07-08,74.12,73.65
489,2021-07-09,75.55,74.31
490,2021-07-12,75.16,75.77
491,2021-07-13,76.49,75.38
492,2021-07-14,74.76,76.74
493,2021-07-15,73.47,75.03
494,2021-07-16,73.59,73.70
495,2021-07-19,68.62,73.78
496,2021-07-20,69.35,69.13
497,2021-07-21,72.23,69.44
498,2021-07-22,73.79,72.34
499,2021-07-23,74.10,73.94
500,2021-07-26,74.50,74.28
501,2021-07-27,74.48,74.70
502,2021-07-28,74.74,74.68
503,2021-07-29,76.05,74.94
504,2021-07-30,76.33,76.29
505,2021-08-02,72.89,76.57
506,2021-08-03,72.41,73.25
507,2021-08-04,70.38,72.60
508,2021-08-05,71.29,70.62
509,2021-08-06,70.70,71.41
510,2021-08-09,69.04,70.85
511,2021-08-10,70.63,69.24
512,2021-08-11,71.44,70.71
513,2021-08-12,71.31,71.54
514,2021-08-13,70.59,71.45
515,2021-08-16,69.51,70.75
516,2021-08-17,69.03,69.68
517,2021-08-18,68.23,69.15
518,2021-08-19,66.45,68.36
519,2021-08-20,65.18,66.64
520,2021-08-23,68.75,65.32
521,2021-08-24,71.05,68.71
522,2021-08-25,72.25,71.09
523,2021-08-26,71.07,72.36
524,2021-08-27,72.70,71.26
525,2021-08-30,73.41,72.85
526,2021-08-31,72.99,73.57
527,2021-09-01,71.59,73.17
528,2021-09-02,73.03,71.80
529,2021-09-03,72.61,73.19
530,2021-09-07,71.69,72.78
531,2021-09-08,72.60,71.87
532,2021-09-09,71.45,72.75
533,2021-09-10,72.92,71.64
534,2021-09-13,73.51,73.07
535,2021-09-14,73.60,73.67
536,2021-09-15,75.46,73.78
537,2021-09-16,75.67,75.69
538,2021-09-17,75.34,75.89
539,2021-09-20,73.92,75.57
540,2021-09-21,74.36,74.16
541,2021-09-22,76.19,74.56
542,2021-09-23,77.25,76.44
543,2021-09-24,78.09,77.51
544,2021-09-27,79.53,78.37
545,2021-09-28,79.09,79.86
546,2021-09-29,78.64,79.40
547,2021-09-30,78.52,78.94
548,2021-10-01,79.28,78.82
549,2021-10-04,81.26,79.60
550,2021-10-05,82.56,81.66
551,2021-10-06,81.08,82.96
552,2021-10-07,81.95,81.47
553,2021-10-08,82.39,82.34
554,2021-10-11,83.65,82.78
555,2021-10-12,83.42,84.08
556,2021-10-13,83.18,83.83
557,2021-10-14,84.00,83.59
558,2021-10-15,84.86,84.43
559,2021-10-18,84.33,85.31
560,2021-10-19,85.08,84.77
561,2021-10-20,85.82,85.53
562,2021-10-21,84.61,86.28
563,2021-10-22,85.53,85.09
564,2021-10-25,85.99,86.00
565,2021-10-26,86.40,86.46
566,2021-10-27,84.58,86.88
567,2021-10-28,84.32,85.09
568,2021-10-29,84.38,84.76
569,2021-11-01,84.71,84.81
570,2021-11-02,84.72,85.15
571,2021-11-03,81.99,85.16
572,2021-11-04,80.54,82.48
573,2021-11-05,82.74,80.91
574,2021-11-08,83.43,83.21
575,2021-11-09,84.78,83.84
576,2021-11-10,82.64,85.24
577,2021-11-11,82.87,83.12
578,2021-11-12,82.17,83.28
579,2021-11-15,82.05,82.56
580,2021-11-16,82.43,82.43
581,2021-11-17,80.28,82.82
582,2021-11-18,81.24,80.69
583,2021-11-19,78.89,81.62
584,2021-11-22,79.70,79.28
585,2021-11-23,82.31,80.04
586,2021-11-24,82.25,82.78
587,2021-11-25,82.28,82.63
588,2021-11-26,72.72,82.67
589,2021-11-29,73.44,73.94
590,2021-11-30,70.57,73.66
591,2021-12-01,68.87,70.87
592,2021-12-02,69.67,69.07
593,2021-12-03,69.88,69.75
594,2021-12-06,73.08,69.97
595,2021-12-07,75.44,73.24
596,2021-12-08,75.82,75.65
597,2021-12-09,74.42,76.04
598,2021-12-10,75.15,74.67
599,2021-12-13,74.39,75.37
600,2021-12-14,73.70,74.61
601,2021-12-15,73.88,73.91
602,2021-12-16,75.02,74.07
603,2021-12-17,73.52,75.23
604,2021-12-20,71.52,73.76
605,2021-12-21,73.98,71.76
606,2021-12-22,75.29,74.19
607,2021-12-23,76.85,75.49
608,2021-12-27,78.60,77.11
609,2021-12-28,78.94,78.91
610,2021-12-29,79.23,79.24
611,2021-12-30,79.32,79.54
612,2021-12-31,79.20,79.63
613,2022-01-03,78.98,79.51
614,2022-01-04,80.00,79.29
615,2022-01-05,80.80,80.34
616,2022-01-06,81.99,81.15
617,2022-01-07,81.75,82.38
618,2022-01-10,80.87,82.12
619,2022-01-11,83.72,81.24
620,2022-01-12,84.67,84.26
621,2022-01-13,84.47,85.11
622,2022-01-14,86.06,84.91
623,2022-01-18,87.51,86.55
624,2022-01-19,88.44,88.01
625,2022-01-20,88.38,88.96
626,2022-01-21,87.89,88.91
627,2022-01-24,86.27,88.42
628,2022-01-25,88.20,86.81
629,2022-01-26,89.96,88.75
630,2022-01-27,89.34,90.51
631,2022-01-28,90.03,89.93
632,2022-01-31,91.21,90.58
633,2022-02-01,91.29,91.78
634,2022-02-02,89.47,91.90
635,2022-02-03,91.11,90.15
636,2022-02-04,93.27,91.69
637,2022-02-07,92.69,93.88
638,2022-02-08,90.78,93.40
639,2022-02-09,91.55,91.52
640,2022-02-10,91.41,92.14
641,2022-02-11,94.44,92.03
642,2022-02-14,96.48,95.10
643,2022-02-15,93.28,97.17
644,2022-02-16,94.81,94.34
645,2022-02-17,92.97,95.46
646,2022-02-18,93.54,93.82
647,2022-02-22,96.84,94.19
648,2022-02-23,96.84,97.53
649,2022-02-24,99.08,97.67
650,2022-02-25,97.93,99.82
651,2022-02-28,100.99,98.90
652,2022-03-01,100.85,101.75
653,2022-03-02,112.93,101.79
654,2022-03-03,110.46,114.33
655,2022-03-04,118.11,111.22
656,2022-03-07,123.21,118.83
657,2022-03-08,127.98,124.02
658,2022-03-09,111.14,129.19
659,2022-03-10,109.33,112.54
660,2022-03-11,112.67,110.09
661,2022-03-14,106.90,113.25
662,2022-03-15,99.91,108.05
663,2022-03-16,98.02,101.57
664,2022-03-17,106.64,99.02
665,2022-03-18,107.93,107.71
666,2022-03-21,115.62,108.69
667,2022-03-22,115.48,116.34
668,2022-03-23,121.60,115.98
669,2022-03-24,119.03,122.34
670,2022-03-25,120.65,119.61
671,2022-03-28,112.48,121.26
672,2022-03-29,110.23,113.33
673,2022-03-30,113.45,110.96
674,2022-03-31,107.91,114.00
675,2022-04-01,107.67,108.97
676,2022-04-04,107.53,108.46
677,2022-04-05,106.64,108.33
678,2022-04-06,101.07,107.51
679,2022-04-07,100.58,102.54
680,2022-04-08,102.78,101.51
681,2022-04-11,98.48,103.58
682,2022-04-12,104.64,99.86
683,2022-04-13,108.78,105.51
684,2022-04-14,111.70,109.48
685,2022-04-18,113.16,112.30
686,2022-04-19,107.25,113.71
687,2022-04-20,106.80,108.38
688,2022-04-21,108.33,107.64
689,2022-04-22,106.65,109.06
690,2022-04-25,102.32,107.57
691,2022-04-26,104.99,103.61
692,2022-04-27,105.32,105.77
693,2022-04-28,107.59,106.19
694,2022-04-29,109.34,108.33
695,2022-05-02,109.36,110.03
696,2022-05-03,104.97,110.08
697,2022-05-04,110.14,106.15
698,2022-05-05,110.90,110.85
699,2022-05-06,112.39,111.54
700,2022-05-09,105.94,112.96
701,2022-05-10,102.46,107.20
702,2022-05-11,107.51,103.65
703,2022-05-12,107.45,108.28
704,2022-05-13,111.55,108.27
705,2022-05-16,114.24,112.18
706,2022-05-17,111.93,114.76
707,2022-05-18,109.11,112.58
708,2022-05-19,112.04,109.93
709,2022-05-20,112.55,112.63
710,2022-05-23,113.42,113.12
711,2022-05-24,113.56,113.96
712,2022-05-25,114.03,114.10
713,2022-05-26,117.40,114.55
714,2022-05-27,119.43,117.92
715,2022-05-31,122.84,119.98
716,2022-06-01,116.29,123.61
717,2022-06-02,117.61,116.94
718,2022-06-03,119.72,118.10
719,2022-06-06,119.51,120.28
720,2022-06-07,120.57,120.07
721,2022-06-08,123.58,121.17
722,2022-06-09,123.07,124.41
723,2022-06-10,122.01,123.88
724,2022-06-13,122.27,122.74
725,2022-06-14,121.17,123.00
726,2022-06-15,118.51,121.83
727,2022-06-16,119.81,119.06
728,2022-06-17,113.12,120.37
729,2022-06-20,114.20,113.87
730,2022-06-21,114.65,114.71
731,2022-06-22,111.74,115.16
732,2022-06-23,110.05,112.42
733,2022-06-24,113.12,110.78
734,2022-06-27,115.09,113.68
735,2022-06-28,117.98,115.59
736,2022-06-29,116.26,118.49
