,Train Split,Order,MSE,MAPE,Time(s)
218,0.650,"(7, 1, 1)",55.358,0.098,108.943
219,0.650,"(7, 1, 2)",56.217,0.099,293.297
220,0.650,"(7, 2, 0)",59.453,0.102,54.555
221,0.650,"(7, 2, 1)",56.762,0.101,241.510
222,0.650,"(7, 2, 2)",65.925,0.106,259.748
223,0.650,"(8, 0, 0)",53.322,0.097,134.679
224,0.650,"(8, 0, 1)",53.823,0.097,218.725
225,0.650,"(8, 1, 0)",55.142,0.098,86.335
226,0.650,"(8, 1, 1)",55.151,0.098,167.452
227,0.650,"(8, 1, 2)",60.593,0.102,371.547
228,0.650,"(8, 2, 0)",62.507,0.104,87.582
229,0.650,"(8, 2, 1)",61.254,0.104,228.652
230,0.650,"(8, 2, 2)",61.204,0.103,438.577
231,0.650,"(9, 0, 0)",53.474,0.096,213.938
232,0.650,"(9, 0, 1)",54.400,0.098,424.817
233,0.650,"(9, 1, 0)",56.592,0.100,156.848
234,0.650,"(9, 1, 1)",57.121,0.100,257.931
235,0.650,"(9, 1, 2)",61.548,0.106,1089.257
236,0.650,"(9, 2, 0)",61.634,0.102,145.427
237,0.650,"(9, 2, 1)",58.750,0.103,507.712
238,0.650,"(9, 2, 2)",59.100,0.103,695.076
