Date,Close Prices,"ARIMA_50.0_(0, 1, 0)_Predictions","ARIMA_50.0_(1, 0, 0)_Predictions",LSTM_80.0_Predictions
1/6/2019,51.59,47.92,48.23,
1/13/2019,53.8,51.56,51.83,
1/20/2019,53.69,53.77,54.02,
1/27/2019,55.26,53.66,53.91,
2/3/2019,52.72,55.23,55.46,
2/10/2019,55.59,52.69,52.94,
2/17/2019,57.26,55.56,55.79,
2/24/2019,55.8,57.24,57.44,
3/3/2019,56.07,55.77,56,
3/10/2019,58.52,56.04,56.26,
3/17/2019,59.04,58.5,58.69,
3/24/2019,60.14,59.02,59.2,
3/31/2019,63.08,60.12,60.29,
4/7/2019,63.89,63.07,63.2,
4/14/2019,64,63.88,64,
4/21/2019,63.3,63.99,64.11,
4/28/2019,61.94,63.29,63.42,
5/5/2019,61.66,61.92,62.07,
5/12/2019,62.76,61.64,61.8,
5/19/2019,58.63,62.75,62.89,
5/26/2019,53.5,58.61,58.8,
6/2/2019,53.99,53.47,53.71,
6/9/2019,52.51,53.96,54.2,
6/16/2019,57.43,52.48,52.73,
6/23/2019,58.47,57.41,57.61,
6/30/2019,57.51,58.45,58.64,
7/7/2019,60.21,57.49,57.69,
7/14/2019,55.63,60.19,60.36,
7/21/2019,56.2,55.6,55.82,
7/28/2019,55.66,56.18,56.39,
8/4/2019,54.5,55.63,55.85,
8/11/2019,54.87,54.47,54.7,
8/18/2019,54.17,54.84,55.07,
8/25/2019,55.1,54.14,54.37,
9/1/2019,56.52,55.07,55.3,
9/8/2019,54.85,56.5,56.7,
9/15/2019,58.09,54.82,55.05,
9/22/2019,55.91,58.07,58.26,
9/29/2019,52.81,55.89,56.1,
10/6/2019,54.7,52.78,53.02,
10/13/2019,53.78,54.67,54.9,
10/20/2019,56.66,53.75,53.98,
10/27/2019,56.2,56.64,56.84,
11/3/2019,57.24,56.18,56.38,
11/10/2019,57.72,57.22,57.41,
11/17/2019,57.77,57.7,57.89,
11/24/2019,55.17,57.75,57.94,
12/1/2019,59.2,55.14,55.36,
12/8/2019,60.07,59.18,59.35,
12/15/2019,60.44,60.05,60.21,
12/22/2019,61.72,60.42,60.58,
12/29/2019,63.05,61.7,61.85,
1/5/2020,59.04,63.04,63.16,
1/12/2020,58.54,59.02,59.19,
1/19/2020,54.19,58.52,58.7,
1/26/2020,51.56,54.16,54.39,
2/2/2020,50.32,51.53,51.78,
2/9/2020,52.05,50.29,50.55,
